mean phase angle,standard deviation,frequency (Hz)
0.6091480817692795,0.08179338953870195,100
0.07089463092078377,0.05095615827755857,74
0.9726592105524636,0.00896944364317013,74
0.33775691983365363,0.04393060997779492,77
0.49101658263029363,0.07960658026311702,80
0.4727910409132367,0.13045917345920208,95
1.000266246546423,0.03835250581590938,90
0.0393298568972015,0.03381538305314302,90
