mean phase angle,standard deviation,distance (mm)
0.6005562622872004,0.03424222161432352,27
1.000266246546423,0.03835250581590938,28
0.0393298568972015,0.03381538305314302,28
0.29196986357287014,0.11146387630228852,29
0.49181850869666066,0.07469107252693019,30
0.8986143195327156,0.051076079164413944,31
0.08890210296695272,0.046165184906587095,31
0.976546998584333,0.025031063511779313,32
0.15159220814286076,0.07544927546917628,32
0.5698097774388615,0.1134759813489737,33
